Entity,land_use,farm,animal_feed,processing,transport,retail,packaging
Beef (beef herd),16.3,39.4,1.9,1.3,0.3,0.2,0.2
Lamb & Mutton,0.5,19.5,2.4,1.1,0.5,0.2,0.3
Cheese,4.5,13.1,2.3,0.7,0.1,0.3,0.2
Beef (dairy herd),0.9,15.7,2.5,1.1,0.4,0.2,0.3
Dark Chocolate,14.3,3.7,0,0.2,0.1,0,0.4
Coffee,3.7,10.4,0,0.6,0.1,0.1,1.6
Shrimps (farmed),0.2,8.4,2.5,0,0.2,0.2,0.3
Palm Oil,3.1,2.1,0,1.3,0.2,0,0.9
Pig Meat,1.5,1.7,2.9,0.3,0.3,0.2,0.3
Poultry Meat,2.5,0.7,1.8,0.4,0.3,0.2,0.2
Olive Oil,-0.4,4.3,0,0.7,0.5,0,0.9
Soybean Oil,3.1,1.5,0,0.3,0.3,0,0.8
Fish (farmed),0.5,3.6,0.8,0,0.1,0,0.1
Eggs,0.7,1.3,2.2,0,0.1,0,0.2
Rice,0,3.6,0,0.1,0.1,0.1,0.1